line,epoch,date,time,activity,marker,sleep/wake,intervalstatus,s/wstatus,
394,2313,27/06/2013,19:16:30,145,0,1,active,nan,
395,2314,27/06/2013,19:17:00,285,0,1,active,nan,
396,2315,27/06/2013,19:17:30,294,0,1,active,nan,
397,2316,27/06/2013,19:18:00,579,0,1,active,nan,
398,2317,27/06/2013,19:18:30,226,0,1,active,nan,
399,2318,27/06/2013,19:19:00,168,0,1,active,nan,
400,2319,27/06/2013,19:19:30,70,0,1,active,nan,
401,2320,27/06/2013,19:20:00,1317,0,1,active,nan,
402,2321,27/06/2013,19:20:30,579,0,1,active,nan,
403,2322,27/06/2013,19:21:00,448,0,1,active,nan,
404,2323,27/06/2013,19:21:30,543,0,1,active,nan,
405,2324,27/06/2013,19:22:00,680,0,1,active,nan,
406,2325,27/06/2013,19:22:30,526,0,1,active,nan,
407,2326,27/06/2013,19:23:00,510,0,1,active,nan,
408,2327,27/06/2013,19:23:30,358,0,1,active,nan,
409,2328,27/06/2013,19:24:00,205,0,1,active,nan,
410,2329,27/06/2013,19:24:30,191,0,1,active,nan,
411,2330,27/06/2013,19:25:00,285,0,1,active,nan,
412,2331,27/06/2013,19:25:30,382,0,1,active,nan,
413,2332,27/06/2013,19:26:00,618,0,1,active,nan,
414,2333,27/06/2013,19:26:30,325,0,1,active,nan,
415,2334,27/06/2013,19:27:00,212,0,1,active,nan,
416,2335,27/06/2013,19:27:30,382,0,1,active,nan,
417,2336,27/06/2013,19:28:00,185,0,1,active,nan,
418,2337,27/06/2013,19:28:30,185,0,1,active,nan,
419,2338,27/06/2013,19:29:00,131,0,1,active,nan,
420,2339,27/06/2013,19:29:30,81,0,1,active,nan,
421,2340,27/06/2013,19:30:00,14,0,1,active,nan,
422,2341,27/06/2013,19:30:30,42,0,1,active,nan,
423,2342,27/06/2013,19:31:00,95,0,1,active,nan,
424,2343,27/06/2013,19:31:30,31,0,1,active,nan,
425,2344,27/06/2013,19:32:00,179,0,1,active,nan,
426,2345,27/06/2013,19:32:30,242,0,1,active,nan,
427,2346,27/06/2013,19:33:00,526,0,1,active,nan,
428,2347,27/06/2013,19:33:30,370,0,1,active,nan,
429,2348,27/06/2013,19:34:00,173,0,1,active,nan,
430,2349,27/06/2013,19:34:30,179,0,1,active,nan,
431,2350,27/06/2013,19:35:00,65,0,1,active,nan,
432,2351,27/06/2013,19:35:30,179,0,1,active,nan,
433,2352,27/06/2013,19:36:00,92,0,1,active,nan,
434,2353,27/06/2013,19:36:30,74,0,1,active,nan,
435,2354,27/06/2013,19:37:00,179,0,1,active,nan,
436,2355,27/06/2013,19:37:30,205,0,1,active,nan,
437,2356,27/06/2013,19:38:00,102,0,1,active,nan,
438,2357,27/06/2013,19:38:30,92,0,1,active,nan,
439,2358,27/06/2013,19:39:00,37,0,1,active,nan,
440,2359,27/06/2013,19:39:30,347,0,1,active,nan,
441,2360,27/06/2013,19:40:00,113,0,1,active,nan,
442,2361,27/06/2013,19:40:30,258,0,1,active,nan,
443,2362,27/06/2013,19:41:00,250,0,1,active,nan,
444,2363,27/06/2013,19:41:30,219,0,1,active,nan,
445,2364,27/06/2013,19:42:00,145,0,1,active,nan,
446,2365,27/06/2013,19:42:30,258,0,1,active,nan,
447,2366,27/06/2013,19:43:00,680,0,1,active,nan,
448,2367,27/06/2013,19:43:30,543,0,1,active,nan,
449,2368,27/06/2013,19:44:00,113,0,1,active,nan,
450,2369,27/06/2013,19:44:30,65,0,1,active,nan,
451,2370,27/06/2013,19:45:00,9,0,1,active,nan,
452,2371,27/06/2013,19:45:30,0,0,1,active,nan,
453,2372,27/06/2013,19:46:00,10,0,0,active,nan,
454,2373,27/06/2013,19:46:30,14,0,1,active,nan,
455,2374,27/06/2013,19:47:00,5,0,1,active,nan,
456,2375,27/06/2013,19:47:30,29,0,1,active,nan,
457,2376,27/06/2013,19:48:00,122,0,1,active,nan,
458,2377,27/06/2013,19:48:30,63,0,1,active,nan,
